Number,English,IPA_Eng,Telugu,IPA_Telugu,Roman,PartOfSpeech,Category,English_Example,Telugu_Example
143,area,/ˈɛɹ.i.ə/,ప్రాంతం,/praːntaM/,prāntaṁ,Noun,Location,This is a residential area.,ఇది నివాస ప్రాంతం.
144,arena,/əˈɹiː.nə/,రంగస్థలం,/raŋɡastʰalaM/,raṅgasthalaṁ,Noun,Place > Entertainment,The concert was held in a large arena.,సంగీత కచేరీ ఒక పెద్ద రంగస్థలంలో జరిగింది.
145,argue,/ˈɑːɡ.juː/,తర్కించు,/tar.kin.chu/,tarkinchhu,Verb,Dispute,Don’t argue.,తర్కించకూడదు.
146,argument,/ˈɑːɡ.jə.mənt/,తర్కం,/tar.kam/,tarkam,Noun,Communication,Avoid arguments.,తర్కం నివారించు.
147,arise,/əˈɹaɪz/,తలెత్తు,/talettu/,talettu,Verb,Action > Occurrence,Problems may arise during the project.,ప్రాజెక్ట్ సమయంలో సమస్యలు తలెత్తవచ్చు.
148,arm,/ɑːm/,చేయి,/che.yi/,cheyi,Noun,Body,Raise your arms.,చేతులు పైకెత్తు.
149,armed,/ɑɹmd/,సాయుధ,/saːjudʱa/,sāyudha,Adjective,State,The robbers were armed with guns.,దొంగలు తుపాకులతో సాయుధులై ఉన్నారు.
150,armor,/ˈɑɹ.mɚ/,కవచం,/kaʋatʃaM/,kavacaṁ,Noun,Object,The knight wore a suit of armor.,ఆ యోధుడు కవచం ధరించాడు.
151,army,/ˈɑɹ.mi/,సైన్యం,/sainjaM/,sainyaṁ,Noun,Organization,He joined the army after college.,అతను కళాశాల తర్వాత సైన్యంలో చేరాడు.
152,aroma,/əˈɹoʊ.mə/,సువాసన,/suʋaːsana/,suvāsana,Noun,Sensation,The aroma of coffee filled the room.,కాఫీ సువాసన గదిని నింపింది.
153,around,/əˈraʊnd/,చుట్టూ,/chu.t.tu/,chuttu,Preposition,Place,Walk around the park.,పార్క్ చుట్టూ నడుచు.
154,arrange,/əˈreɪndʒ/,అమర్చు,/amarchu/,amarchu,Verb,Action,Arrange the chairs.,కుర్చీలు అమర్చు.
155,arrangement,/əˈɹeɪndʒ.mənt/,ఏర్పాటు,/eːrpaːʈu/,ērpāṭu,Noun,System,We have a special arrangement with the hotel.,మాకు హోటల్‌తో ఒక ప్రత్యేక ఏర్పాటు ఉంది.
156,array,/əˈɹeɪ/,శ్రేణి,/sreːɳi/,śrēṇi,Noun,Collection,The store has a wide array of products.,ఆ దుకాణంలో అనేక రకాల ఉత్పత్తుల శ్రేణి ఉంది.
157,arrest,/əˈɹɛst/,అరెస్టు చేయు,/aresʈu tʃeːju/,aresṭu cēyu,Verb,Action > Legal,The police will arrest the suspect.,పోలీసులు అనుమానితుడిని అరెస్టు చేస్తారు.
158,arrival,/əˈɹaɪ.vəl/,రాక,/raːka/,rāka,Noun,Event,We awaited his arrival eagerly.,మేము అతని రాక కోసం ఆత్రుతగా ఎదురుచూశాము.
159,arrive,/əˈraɪv/, చేరు,/che.ru/,cheru,Verb,Action,Arrive early.,త్వరగా చేరుకో.
160,arrogant,/ˈæɹ.ə.ɡənt/,అహంకారి,/ahaŋkaːri/,ahaṅkāri,Adjective,Behavior,He is very arrogant and rude.,అతను చాలా అహంకారి మరియు మొరటుగా ఉంటాడు.
161,arrow,/ˈæɹ.oʊ/,బాణం,/baːɳaM/,bāṇaṁ,Noun,Object,He shot an arrow from his bow.,అతను తన విల్లు నుండి ఒక బాణాన్ని వదిలాడు.
162,art,/ɑɹt/,కళ,/kaɭa/,kaḷa,Noun,Field,She is studying fine art.,ఆమె లలిత కళను అభ్యసిస్తోంది.
163,artery,/ˈɑɹ.t̬ə.ɹi/,ధమని,/dʱamani/,dhamani,Noun,Body Part,The artery carries blood from the heart.,ధమని గుండె నుండి రక్తాన్ని తీసుకువెళుతుంది.
164,article,/ˈɑɹ.t̬ɪ.kəl/,వ్యాసం,/vjaːsaM/,vyāsaṁ,Noun,Document,I read an interesting article in the newspaper.,నేను వార్తాపత్రికలో ఒక ఆసక్తికరమైన వ్యాసం చదివాను.
165,artificial,/ˌɑɹ.t̬əˈfɪʃ.əl/,కృత్రిమ,/krutrima/,kr̥trima,Adjective,Quality,This plant has artificial flowers.,ఈ మొక్కకు కృత్రిమ పువ్వులు ఉన్నాయి.
166,artist,/ˈɑɹ.t̬ɪst/,కళాకారుడు,/kaɭaːkaːruɖu/,kaḷākāruḍu,Noun,Person > Role,He is a talented artist.,అతను ఒక ప్రతిభావంతుడైన కళాకారుడు.
167,artistic,/ɑɹˈtɪs.tɪk/,కళాత్మక,/kaɭaːtmaka/,kaḷātmaka,Adjective,Quality,She has great artistic skills.,ఆమెకు గొప్ప కళాత్మక నైపుణ్యాలు ఉన్నాయి.
168,as,/æz/,గా,/ɡaː/,gā,Preposition,Relation,He works as a teacher.,అతను ఉపాధ్యాయుడిగా పనిచేస్తాడు.
169,ascend,/əˈsɛnd/,ఎక్కు,/ekku/,ekku,Verb,Action > Movement,They began to ascend the mountain.,వారు పర్వతం ఎక్కడం ప్రారంభించారు.
170,ash,/æʃ/,బూడిద,/buːɖida/,būḍida,Noun,Substance,The fire left only ash.,అగ్ని కేవలం బూడిదను మాత్రమే మిగిల్చింది.
171,ashamed,/əˈʃeɪmd/,సిగ్గుపడు,/siɡːupaɖu/,siggupaḍu,Adjective,Emotion,He was ashamed of his behavior.,అతను తన ప్రవర్తనకు సిగ్గుపడ్డాడు.
172,ashen,/ˈæʃ.ən/,పాలిపోయిన,/paːlipoːjina/,pālipōyina,Adjective,Color,Her face was ashen with fear.,ఆమె ముఖం భయంతో పాలిపోయింది.
173,ashore,/əˈʃɔɹ/,ఒడ్డుకు,/oɖːuku/,oḍḍuku,Adverb,Location,The sailors swam ashore.,నావికులు ఒడ్డుకు ఈదారు.
174,Asian,/ˈeɪ.ʒən/,ఆసియన్,/aːsijan/,āsiyan,Adjective,Group > People,The conference focused on Asian economies.,ఈ సమావేశం ఆసియా ఆర్థిక వ్యవస్థలపై దృష్టి పెట్టింది.
175,aside,/əˈsaɪd/,పక్కన,/pakkana/,pakkana,Adverb,Location,He stepped aside to let her pass.,ఆమె వెళ్ళడానికి అతను పక్కకు తప్పుకున్నాడు.
176,ask,/æsk/,అడుగు,/a.du.gu/,adugu,Verb,Action,Ask a question.,ఒక ప్రశ్న అడుగు.
177,asleep,/əˈsliːp/,నిద్రలో,/nidraloː/,nidralō,Adjective,State,The baby is fast asleep.,పసిబిడ్డ గాఢ నిద్రలో ఉంది.
178,aspect,/ˈæs.pɛkt/,అంశం,/anɕaM/,anśaṁ,Noun,Concept,We must consider every aspect of the problem.,మనం సమస్య యొక్క ప్రతి అంశాన్ని పరిగణించాలి.
179,aspiration,/ˌæs.pəˈɹeɪ.ʃən/,ఆకాంక్ష,/aːkaːŋkʂa/,ākāṅkṣa,Noun,Goal,His aspiration is to travel the world.,ప్రపంచాన్ని పర్యటించాలనేది అతని ఆకాంక్ష.
180,aspire,/əˈspaɪ.ɚ/,ఆకాంక్షించు,/aːkaːŋkʂiɲtʃu/,ākāṅkṣin̄cu,Verb,Action > Goal,She aspires to be a great leader.,ఆమె ఒక గొప్ప నాయకురాలు కావాలని ఆకాంక్షిస్తుంది.
181,assassination,/əˌsæs.əˈneɪ.ʃən/,హత్య,/hatja/,hatya,Noun,Crime,The assassination of the leader shocked the world.,నాయకుడి హత్య ప్రపంచాన్ని దిగ్భ్రాంతికి గురిచేసింది.
182,assault,/əˈsɔlt/,దాడి,/daːɖi/,dāḍi,Noun,Crime,He was arrested for assault.,దాడి చేసినందుకు అతన్ని అరెస్టు చేశారు.
183,assay,/ˈæs.eɪ/,పరీక్ష,/pariːkʂa/,parīkṣa,Noun,Process,An assay was conducted to determine the purity of the gold.,బంగారం యొక్క స్వచ్ఛతను నిర్ధారించడానికి ఒక పరీక్ష నిర్వహించబడింది.
184,assemble,/əˈsɛm.bəl/,సమీకరించు,/samiːkariɲtʃu/,samīkarin̄cu,Verb,Action > Process,We need to assemble the team.,మనం జట్టును సమీకరించాలి.
185,assembly,/əˈsɛm.bli/,సభ,/sabʱa/,sabha,Noun,Group,The school assembly is held every morning.,పాఠశాల సభ ప్రతి ఉదయం జరుగుతుంది.
186,assent,/əˈsɛnt/,అంగీకారం,/aŋɡiːkaːraM/,aṅgīkāraṁ,Noun,State,She gave her assent to the proposal.,ఆమె ప్రతిపాదనకు తన అంగీకారం తెలిపింది.
187,assert,/əˈsɝt/,నొక్కిచెప్పు,/nokkitʃeppu/,nokkiceppu,Verb,Action > Communication,You need to assert your rights.,మీరు మీ హక్కులను నొక్కిచెప్పాలి.
188,assertion,/əˈsɝ.ʃən/,వాదన,/ʋaːdana/,vādana,Noun,Communication,His assertion was not supported by evidence.,అతని వాదనకు ఆధారాలు లేవు.
189,assess,/əˈsɛs/,అంచనా వేయు,/aɲtʃanaː ʋeːju/,an̄canā vēyu,Verb,Action > Cognitive,We need to assess the damage.,మనం నష్టాన్ని అంచనా వేయాలి.
190,asset,/ˈæs.ɛt/,ఆస్తి,/aːsti/,āsti,Noun,Finance,The company's assets are worth millions.,కంపెనీ ఆస్తులు మిలియన్ల విలువైనవి.
191,assign,/əˈsaɪn/,కేటాయించు,/keːʈaːjiɲtʃu/,kēṭāyin̄cu,Verb,Action > Process,The teacher will assign homework.,ఉపాధ్యాయుడు హోంవర్క్ కేటాయిస్తారు.
192,assignment,/əˈsaɪn.mənt/,అప్పగింపు,/ap.pa.gin.pu/,appaginpu,Noun,Education,Complete the assignment.,అప్పగింపు పూర్తి చేయు.
193,assimilate,/əˈsɪm.ə.leɪt/,జీర్ణం చేసుకొను,/dʒiːrɳaM tʃeːsukonu/,jīrṇaṁ cēsukonu,Verb,Action > Cognitive,It takes time to assimilate new ideas.,కొత్త ఆలోచనలను జీర్ణం చేసుకోవడానికి సమయం పడుతుంది.
194,assist,/əˈsɪst/,సహాయం చేయు,/sahaːjaM tʃeːju/,sahāyaṁ cēyu,Verb,Action > Social,Can I assist you with anything?,నేను మీకు ఏమైనా సహాయం చేయగలనా?
195,assistance,/əˈsɪs.təns/,సహాయం,/sahaːjaM/,sahāyaṁ,Noun,Action,We need financial assistance.,మాకు ఆర్థిక సహాయం అవసరం.
196,assistant,/əˈsɪs.tənt/,సహాయకుడు,/sahaːjakuɖu/,sahāyakuḍu,Noun,Person > Role,She works as a personal assistant.,ఆమె వ్యక్తిగత సహాయకురాలిగా పనిచేస్తుంది.
197,associate,/əˈsoʊ.ʃi.eɪt/,సహచరుడు,/sahatʃaruɖu/,sahacaruḍu,Noun,Person > Role,He is a business associate.,అతను ఒక వ్యాపార సహచరుడు.
198,association,/əˌsoʊ.siˈeɪ.ʃən/,సంఘం,/saŋɡʱaM/,saṅghaṁ,Noun,Organization,He is a member of the writers' association.,అతను రచయితల సంఘంలో సభ్యుడు.
199,assort,/əˈsɔɹt/,వర్గీకరించు,/ʋarɡiːkariɲtʃu/,vargīkarin̄cu,Verb,Action > Process,The items were assorted by size.,వస్తువులు పరిమాణం ప్రకారం వర్గీకరించబడ్డాయి.
200,assortment,/əˈsɔɹt.mənt/,రకరకాల,/rakarakaːla/,rakarakāla,Noun,Collection,The box contained an assortment of chocolates.,ఆ పెట్టెలో రకరకాల చాక్లెట్లు ఉన్నాయి.
201,assume,/əˈsuːm/,ఊహించు,/uːhiɲtʃu/,ūhin̄cu,Verb,Action > Cognitive,I assume you know the rules.,మీకు నియమాలు తెలుసని నేను ఊహిస్తున్నాను.
202,assumption,/əˈsʌmp.ʃən/,ఊహ,/uːha/,ūha,Noun,Concept,Your assumption is incorrect.,మీ ఊహ తప్పు.
203,assurance,/əˈʃʊɹ.əns/,హామీ,/haːmiː/,hāmī,Noun,Communication,He gave me his assurance that he would help.,అతను సహాయం చేస్తానని నాకు హామీ ఇచ్చాడు.
204,assure,/əˈʃʊɹ/,హామీ ఇచ్చు,/haːmiː itʃtʃu/,hāmī iccu,Verb,Action > Communication,I can assure you that everything will be fine.,అంతా బాగానే ఉంటుందని నేను మీకు హామీ ఇవ్వగలను.
205,asthma,/ˈæz.mə/,ఉబ్బసం,/ubːasaM/,ubbasaṁ,Noun,Health,He suffers from chronic asthma.,అతను దీర్ఘకాలిక ఉబ్బసంతో బాధపడుతున్నాడు.
206,astonish,/əˈstɑ.nɪʃ/,ఆశ్చర్యపరచు,/aːɕtʃarjaparatsu/,āścaryaparacu,Verb,Action > Emotion,The magician's tricks astonished the audience.,ఇంద్రజాలికుడి మాయలు ప్రేక్షకులను ఆశ్చర్యపరిచాయి.
207,astonishing,/əˈstɑ.nɪ.ʃɪŋ/,ఆశ్చర్యకరమైన,/aːɕtʃarjakaramaina/,āścaryakaramaina,Adjective,Quality,It was an astonishing discovery.,అది ఒక ఆశ్చర్యకరమైన ఆవిష్కరణ.
208,astound,/əˈstaʊnd/,దిగ్భ్రాంతికి గురిచేయు,/digbʱraːntiki ɡuritʃeːju/,digbhrāntiki guricēyu,Verb,Action > Emotion,The news will astound everyone.,ఆ వార్త అందరినీ దిగ్భ్రాంతికి గురిచేస్తుంది.
209,astray,/əˈstɹeɪ/,దారితప్పిన,/daːritappina/,dāritappina,Adverb,State,The young man went astray.,ఆ యువకుడు దారితప్పాడు.
210,astronaut,/ˈæs.tɹə.nɔt/,వ్యోమగామి,/vjoːmaɡaːmi/,vyōmagāmi,Noun,Person > Role,Neil Armstrong was the first astronaut on the moon.,నీల్ ఆర్మ్‌స్ట్రాంగ్ చంద్రునిపై మొదటి వ్యోమగామి.
